"Date","Sector","sector_flow","prop"
2015-01-14,"Consumer Cyclical",15570381994.3974,0.123679245955173
2015-01-14,"Consumer Defensive",8120616908.86629,0.0645039907396493
2015-01-14,"Energy",12518850965.3492,0.09944020950653
2015-01-14,"Financial Services",22538109330.2383,0.179025560723054
2015-01-14,"Healthcare",14366623924.0658,0.114117509415592
2015-01-14,"Industrials",12173289330.1235,0.096695331282532
2015-01-14,"Real Estate",3534075687.1548,0.0280720033903531
2015-01-14,"Technology",18485232278.0745,0.146832594748229
2015-01-14,"Utilities",3687664772.54526,0.0292919980105796
2015-01-15,"Basic Materials",3750367313.24229,0.0312039135428821
2015-01-15,"Communication Services",9798890152.34294,0.0815290065189819
2015-01-15,"Consumer Cyclical",14884266609.2503,0.123840501378177
2015-01-15,"Consumer Defensive",9450738325.68269,0.0786323037185539
